D:\Data\IMG\center_2020_06_15_12_50_25_710.jpg, D:\Data\IMG\left_2020_06_15_12_50_25_710.jpg, D:\Data\IMG\right_2020_06_15_12_50_25_710.jpg, 0, 0, 0, 7.886734E-05
D:\Data\IMG\center_2020_06_15_12_50_25_812.jpg, D:\Data\IMG\left_2020_06_15_12_50_25_812.jpg, D:\Data\IMG\right_2020_06_15_12_50_25_812.jpg, 0, 0, 0, 7.819785E-05
D:\Data\IMG\center_2020_06_15_12_50_25_916.jpg, D:\Data\IMG\left_2020_06_15_12_50_25_916.jpg, D:\Data\IMG\right_2020_06_15_12_50_25_916.jpg, 0, 0, 0, 7.818626E-05
D:\Data\IMG\center_2020_06_15_12_50_26_020.jpg, D:\Data\IMG\left_2020_06_15_12_50_26_020.jpg, D:\Data\IMG\right_2020_06_15_12_50_26_020.jpg, 0, 0, 0, 7.768746E-05
D:\Data\IMG\center_2020_06_15_12_50_26_121.jpg, D:\Data\IMG\left_2020_06_15_12_50_26_121.jpg, D:\Data\IMG\right_2020_06_15_12_50_26_121.jpg, 0, 0, 0, 8.01532E-05
D:\Data\IMG\center_2020_06_15_12_50_26_222.jpg, D:\Data\IMG\left_2020_06_15_12_50_26_222.jpg, D:\Data\IMG\right_2020_06_15_12_50_26_222.jpg, 0, 0, 0, 7.824547E-05
D:\Data\IMG\center_2020_06_15_12_50_26_324.jpg, D:\Data\IMG\left_2020_06_15_12_50_26_324.jpg, D:\Data\IMG\right_2020_06_15_12_50_26_324.jpg, 0, 0, 0, 7.764529E-05
D:\Data\IMG\center_2020_06_15_12_50_26_427.jpg, D:\Data\IMG\left_2020_06_15_12_50_26_427.jpg, D:\Data\IMG\right_2020_06_15_12_50_26_427.jpg, 0, 0, 0, 7.808278E-05
D:\Data\IMG\center_2020_06_15_12_50_26_528.jpg, D:\Data\IMG\left_2020_06_15_12_50_26_528.jpg, D:\Data\IMG\right_2020_06_15_12_50_26_528.jpg, 0, 0, 0, 8.028472E-05
D:\Data\IMG\center_2020_06_15_12_50_26_631.jpg, D:\Data\IMG\left_2020_06_15_12_50_26_631.jpg, D:\Data\IMG\right_2020_06_15_12_50_26_631.jpg, 0, 0.2874402, 0, 0.2417766
D:\Data\IMG\center_2020_06_15_12_50_26_734.jpg, D:\Data\IMG\left_2020_06_15_12_50_26_734.jpg, D:\Data\IMG\right_2020_06_15_12_50_26_734.jpg, 0, 0.578937, 0, 0.816753
D:\Data\IMG\center_2020_06_15_12_50_26_835.jpg, D:\Data\IMG\left_2020_06_15_12_50_26_835.jpg, D:\Data\IMG\right_2020_06_15_12_50_26_835.jpg, 0, 0.8806776, 0, 1.816012
D:\Data\IMG\center_2020_06_15_12_50_26_942.jpg, D:\Data\IMG\left_2020_06_15_12_50_26_942.jpg, D:\Data\IMG\right_2020_06_15_12_50_26_942.jpg, -0.3180348, 1, 0, 3.190474
